pair,are_same_entity,confidence,left_norm,right_norm
7,False,0.9,american right to life,wisconsin right to life
8,False,0.9,dc coalition against domestic violence,mississippi coalition against domestic violence
9,False,0.9,d.c. assn of criminal defense lawyers,massachusetts assn of criminal defense lawyers
10,False,0.95,aclu fdn of louisiana,montana family fdn
1,False,0.9,american action forum,family forum
2,False,0.9,digital chamber,justice fdn
3,False,0.95,american civil liberties union of texas,new civil liberties alliance
4,False,0.95,georgia coalition against domestic violence,rhode island coalition against domestic violence
5,False,0.95,american muslim bar assn,lgbt bar assn of new york
6,False,0.9,fog pharmaceuticals,mylan pharmaceuticals
7,False,0.8,free speech advocates,inst for free speech
8,False,0.95,california assn of realtors®,minnesota realtors®
9,False,0.95,league of women voters california,league of women voters of florida
10,False,0.9,columbia college,columbia intl university
1,True,0.9,news media alliance,news/media alliance
2,False,0.3,access reproductive justice,reproductive justice action collective
3,False,0.95,aclu of north carolina,north carolina chamber legal inst
4,False,0.9,georgia innocence project,new georgia project
5,False,0.8,cfl technologies,trane technologies
6,False,0.7,open markets inst,open soc policy ctr
7,False,0.95,alabama criminal defense lawyers assn,d.c. assn of criminal defense lawyers
8,False,0.95,american assn of university women,university of florida
9,False,0.9,american bar assn,natl bar assn
10,False,0.95,league of conservation voters,league of women voters of south carolina
1,False,0.9,ctr for children’s law and policy,ctr for law and military policy
2,False,0.9,equal protection project,resurrection project
3,False,0.95,idaho coalition against sexual and domestic violence,missouri coalition against domestic and sexual violence
4,False,0.95,california chamber of commerce,chamber of commerce of the united states
5,False,0.95,advocates for children of new york,children’s law ctr of massachusetts
6,False,0.8,veterans,veterans legal inst
7,False,0.85,action for life,pro-life texas
8,False,0.9,american mining rights assn,colorado mining assn
9,False,0.95,blue cross blue shield assn,blue cross of idaho health service
10,False,0.95,access housing. district of columbia,district of columbia historians
1,False,0.7,constitution project at the project on government oversight,project on government oversight
2,False,0.3,ctr for justice and freedom,freedom x
3,True,0.95,downsize dc.org,downsizedc.org
4,False,0.8,saturn road church of christ,united church of christ
5,False,0.9,bader family fdn,montana family fdn
6,False,0.95,american hospital assn,illinois hospital assn
7,False,0.4,media action ctr,media inst
8,True,0.95,catholic diocese of colorado springs,diocese of colorado springs
9,False,0.6,ctr for fair housing,ctr for housing and health
10,False,0.5,californians for equal rights fdn,u.s. citizens for equal protection
1,True,0.95,legal momentum,legal momentum the women’s legal defense and education fund
2,False,0.9,natl academy of education,natl education assn
3,True,0.95,natl immigration project,natl immigration project of the natl lawyers guild
4,True,0.98,federal public defender for the western district of washington,federal public defender western district of washington
5,False,0.85,robbinsdale parkway united church of christ,united church of christ
6,False,0.9,catholic radio assn,natl public radio
7,False,0.95,american university,marian university
8,False,0.85,alliance health,refugee health alliance
9,False,0.8,action for life,men for life
10,False,0.9,american ctr for law and justice,ctr for law and education
1,False,0.9,asian american legal defense and education fund,women’s legal defense and education fund
2,False,0.9,conservative legal defense and education fund,naacp legal defense and education fund.
3,True,1.0,free speech def. and ed. fund,free speech defense and education fund
4,False,0.8,alliance for justice,our justice
5,False,0.9,idaho innocence project,mt innocence project
6,False,0.95,american medical assn,american medical student assn
7,False,0.85,california water quality assn,northern california water assn
8,False,1.0,league of california cities,league of women voters maryland chapter
9,False,0.9,lgbt bar assn of los angeles,los angeles lgbt ctr
10,False,0.95,federal defender for the district of arizona,federal public defender district of idaho
1,False,0.9,american bar assn,asian american bar assn of new york
2,False,0.95,alabama legislative black caucus,louisiana legislative black caucus
3,False,0.9,american hospital assn,illinois health and hospital assn
4,False,0.95,apartment assn of los angeles county,natl asian pacific american bar assn
5,False,0.95,bar assn of the district of columbia,ohio assn of criminal defense lawyers
6,False,0.8,equal protection project,u.s. citizens for equal protection
7,False,0.95,aclu of the district of columbia,american historians
8,False,0.85,california gun rights fdn,natl assn for gun rights
9,False,0.8,children’s ctr,children’s partnership
10,False,0.9,first focus on children,focus on the family
1,False,0.9,california financial services assn,native american financial services assn
2,False,0.8,firearms policy fdn,tennessee firearms fdn
3,False,0.7,american conservative agenda,american conservative union and acu fdn
4,False,0.9,apartment owners assn of california,california county gun owners
5,False,0.7,american conservative agenda,american conservative union fdn
6,False,0.8,american veterans,transgender american veterans assn
7,False,0.9,asian american legal defense and education fund,conservative legal def. and ed. fund
8,False,0.9,colorado republican comm,republican natl comm
9,False,0.8,her justice,our justice
10,False,0.9,moravian church in america,moravian college
1,True,0.9,legal aid soc,legal aid soc in new york city
2,False,0.8,republican natl comm,republican state leadership comm
3,False,0.7,santa fe dreamers project,santa fe now
4,False,0.95,alabama criminal defense lawyers assn,georgia assn of criminal defense lawyers
5,False,0.95,american civil liberties union fdn of northern california,american civil liberties union of florida
6,False,0.9,intl assn of chiefs of police,virginia assn of chiefs of police and fdn
7,False,0.95,california school boards assn,natl school boards assn
8,False,0.95,fog pharmaceuticals,ironwood pharmaceuticals
9,False,0.85,wisconsin conservation voters,wisconsin voter alliance
10,True,0.85,world vision,world vision. (u.s.)
1,False,0.9,california women’s law ctr,ctr for children’s law and policy
2,False,0.95,american bakers assn,independent bankers assn of texas
3,False,0.9,ctr for u.s. policy,inst for women’s policy research
4,False,0.7,family policy alliance of new jersey,new jersey family policy council
5,False,0.95,illinois coalition against sexual assault,minnesota indian womens sexual assault coalition
6,False,0.9,access justice,spark reproductive justice now
7,False,0.95,american vaping manufacturers assn,pennsylvania manufacturers assn
8,True,0.95,pascua yaqui tribe,pascua yaqui tribe of arizona
9,False,0.85,black public defender assn,public defender assn
10,True,0.98,fdn jerome lejeune,jerome lejeune fdn
1,False,0.7,eagle forum,eagle forum of alabama
2,False,0.9,aclu of northern california,california water quality assn
3,False,0.95,natl assn of catholic nurses u.s.a.,natl assn of school nurses
4,False,0.95,aclu of southern california,southern christian leadership conference-memphis chapter
5,True,0.9,president of the house of deputies of the episcopal church,presiding bishop and president of the house of deputies of the episcopal church
6,False,0.8,illinois state public interest research grp,u.s. public interest research grp
7,False,0.95,autonomic technologies,dell
8,False,0.9,fairfax county commission for women,fairfax county parents assn
9,False,0.85,natl council of churches,ohio council of churches
10,False,0.9,save,save the children action network
1,True,0.95,n.c. chamber legal inst,north carolina chamber legal inst
2,False,0.9,colorado right to life,natl right to life comm
3,False,0.9,goldentree asset management lp,strive asset management
4,False,0.85,compass family services,new hope housing
5,False,0.95,georgia coalition against domestic violence,west virginia coalition against domestic violence
6,False,0.9,california police chiefs assn,california tribal police chiefs assn
7,True,0.9,natl ctr for lesbian rights,natl ctr on lesbian rights
8,False,0.85,public interest law ctr,public interest law project
9,False,0.95,cuyahoga county public defender’s office,dallas county public defender’s office
10,False,0.9,assn of washington business,fair housing ctr of washington
